dni,apellido,nombre,sexo,edad,provincia,localidad,calle,altura,ubicacion,mail
24995769,Ocampo Rios,Diego Buenaventura Epifanio,M,56,La Pampa,Rancul,Humahuaca,3851,Dto 16,Diego@.com.ar
29327562,Ruiz Lescano,Catalina,F,58,Tierra del Fuego,Ushuaia,San Vicente,5352,Dto 12,Catalina@.com
23916784,Cabral Quintana,Adelfina,F,30,Río Negro,Mainqué,Guaraní,1072,DtoD,Adelfina@.com
19780612,Contrera,Adelfa Benita,F,68,Santiago del Estero,Malbrán,Assunta,6989,DtoB,Adelfa@.com
36007785,Gomez,Bernardo Conrado,M,45,Tierra del Fuego,Tolhuin,Chos Malal,7566,Dto 10,Bernardo@.com.ar
27545417,Romano,Elinor Afra,F,57,Capital Federal,Villa Soldati,Santa Lucía,4095,Casa,Elinor@.com
31766079,Ayala Zalazar,Guillermo Casimiro Hermes,M,36,Formosa,Palo Santo,El Hoyo,7343,Dto 5,Guillermo@.com.ar
45498568,Ojeda Alonso,Adabella Elides,F,41,Capital Federal,Monte Castro,Aldea Epulef,6718,Casa,Adabella@.com.ar
40613168,Mercado Maidana,Abercio Abenamar,M,21,Santa Fe,Ma. Juana,Sanagasta,8095,Casa,Abercio@.com.ar
28193938,Franco,Enrique Emiliano Flavio,M,61,Tucumán,Villa Quinteros,Hipólito Yrigoyen,9325,Casa,Enrique@.com
16755239,Leiva Ruiz,Casimira,F,41,San Luis,Saladillo,Laguna Limpia,2407,DtoH,Casimira@.com.ar
47744242,Pacheco Ramos,África,F,48,Tucumán,Ranchillos,San Gerónimo,5268,Casa,África@.com
32933792,Bustos,Baldomero Dan,M,28,San Luis,Villa del Carmen,Cipolletti,4476,Dto 4,Baldomero@.com.ar
20253615,Palacios,Eduardo Heródoto,M,69,Salta,El Carril,Balvanera,5654,Casa,Eduardo@.com.ar
28115083,Roldan Gil,Benigno,M,25,Buenos Aires,Benito Juárez,Pto. Santa Cruz,2973,Dto 12,Benigno@.com.ar
37581943,Lescano,Belkis Elinor Adara,F,28,Salta,San Antonio,Arauco,7741,Casa,Belkis@.com
39318578,Medina,Heródoto,M,44,Formosa,Misión San Fco.,Mariano I. Loza,4714,Casa,Heródoto@.com
26134751,Figueroa Palavecino,Galileo Fernando,M,54,Tierra del Fuego,Río Grande,Aluminé,9189,Dto 13,Galileo@.com
33602481,Pereira Rivas,Limay África,F,59,Chaco,Laguna Limpia,Árraga,1260,Casa,Limay@.com
29770737,Salinas,Paloma,F,59,San Juan,Caucete,Cañada Rosquín,6433,Dto 5,Paloma@.com
43348228,Oliva Gauna,Carla Mae Casimira,F,68,Misiones,F. Ameghino,Porteña,5096,DtoB,Carla@.com
47264306,Maciel Garay,Acsa Paolina,F,44,Entre Ríos,Primero de Mayo,El Piquete,8259,DtoH,Acsa@.com.ar
